Stock,Close,S1,S1_Hits,S2,S2_Hits,S3,S3_Hits,S4,S4_Hits,S5,S5_Hits,R1,R1_Hits,R2,R2_Hits,R3,R3_Hits,R4,R4_Hits,R5,R5_Hits
NAUKRI,984.55,981.4,1,955.0,1.0,,,,,,,985.35,5,988.5,2.0,994.1,1.0,999.6,2.0,1003.6,2.0
NESTLEIND,1401.9,1398.2,2,1394.1,5.0,1387.1,1.0,1375.4,2.0,,,1409.8,3,1414.7,3.0,1420.0,2.0,1430.7,1.0,,
NHPC,78.22,76.48,1,76.01,2.0,75.65,3.0,75.1,4.0,74.63,4.0,79.48,1,,,,,,,,
NIFTY50,24102.9,24073.15,3,24042.08,3.0,24002.6,3.0,23969.7,1.0,23901.9,1.0,24108.2,3,24168.05,2.0,24189.25,1.0,,,,
NIFTYBANK,57935.6,57804.9,1,57720.1,3.0,57646.15,1.0,57583.2,3.0,57464.55,1.0,58015.18,2,,,,,,,,
NIFTYNXT50,73073.2,72744.8,1,72604.1,3.0,72318.12,4.0,72084.05,1.0,71982.3,1.0,73141.05,1,,,,,,,,
NTPC,367.05,363.8,2,359.95,1.0,356.12,5.0,354.05,1.0,352.05,1.0,368.25,2,,,,,,,,
ONGC,245.45,243.9,3,243.27,3.0,,,,,,,246.77,2,247.75,2.0,248.8,1.0,,,,
PIDILITIND,1572.2,1567.8,2,1565.0,1.0,1553.8,2.0,,,,,1585.12,5,1595.0,1.0,,,,,,
PNB,109.8,109.48,2,109.2,2.0,108.82,3.0,108.66,3.0,108.3,2.0,109.94,2,110.2,1.0,,,,,,
POWERGRID,289.75,289.45,2,288.8,4.0,287.65,1.0,286.52,6.0,283.13,3.0,292.88,2,,,,,,,,
RECLTD,369.85,364.85,1,360.0,2.0,358.35,5.0,355.35,4.0,354.02,2.0,370.75,1,,,,,,,,
RELIANCE,1326.5,1322.0,1,1317.0,2.0,1314.1,2.0,1305.85,2.0,,,1333.77,5,1338.2,1.0,1344.9,1.0,,,,
SBILIFE,1805.5,1803.1,4,1793.67,4.0,1786.9,1.0,1764.0,1.0,1756.0,2.0,1815.3,2,1820.0,1.0,,,,,,
SBIN,1040.75,1033.6,2,1028.7,2.0,1026.55,3.0,1024.45,2.0,1013.45,1.0,1042.5,4,1045.7,1.0,,,,,,
SHRIRAMFIN,992.85,992.17,3,983.8,1.0,,,,,,,998.25,2,1001.95,4.0,1005.75,4.0,1007.7,1.0,1010.05,2.0
SIEMENS,3767.8,3755.0,2,3737.8,3.0,3726.0,2.0,3710.5,1.0,3686.4,1.0,3776.1,2,3785.0,1.0,,,,,,
SRF,2720.7,2719.8,4,2697.3,3.0,2687.1,1.0,2675.0,1.0,2651.2,1.0,2728.6,3,2748.8,3.0,2760.0,1.0,2784.0,1.0,,
SUNPHARMA,1862.9,1842.7,1,1834.0,1.0,1830.0,1.0,1823.4,3.0,1820.9,2.0,1865.2,1,,,,,,,,
TATACONSUM,1112.9,1106.3,3,1103.2,2.0,,,,,,,1117.97,3,1132.0,2.0,1135.0,2.0,,,,
TATAPOWER,405.95,405.6,2,403.68,3.0,401.05,2.0,400.25,1.0,399.43,2.0,407.6,1,,,,,,,,
TATASTEEL,198.97,198.7,3,198.15,1.0,197.6,2.0,196.5,2.0,195.6,1.0,199.43,4,200.68,3.0,,,,,,
TCS,2127.8,2121.0,2,2059.9,1.0,,,,,,,2138.0,1,2158.8,2.0,2182.0,1.0,2200.7,3.0,2209.0,3.0
